initial_mode,states,Wind,GF,GFPRED,GFACT,kill_switch,modes,throttle,max_deviation,max_altitude,duration,final_landing_state,freefall_occurred,mission_complete
OFFBOARD,Takeoff,None,No,None,None,No,AUTO.LOITER,600.0,33.535321167,0.00018389073,83.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,STABILIZED,None,0.10166222000000003,12.841004,79.0,True,True,False
OFFBOARD,Hover,None,No,None,None,No,AUTO.LOITER,None,0.10245530000000003,12.832755,81.0,True,False,True
OFFBOARD,Hover,None,Yes,Yes,None,No,AUTO.LAND,None,0.15366042000000002,12.617487,73.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,AUTO.LOITER,260.0,14.78030886,12.516375,61.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,AUTO.LAND,260.0,1.368988386,12.833898,77.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,STABILIZED,0.0,0.10321227000000002,12.8355465,79.0,True,True,False
AUTO.LAND,Land,None,No,None,None,No,AUTO.LAND,None,0.10224666000000002,12.831321,81.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Hold mode,No,OFFBOARD,0.0,0.16759455000000004,12.604211,73.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,None,14.750534219999999,12.501101,47.0,True,True,False
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,None,0.10478790000000002,12.848729,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,0.0,34.625064,2.1004963,19.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,550.0,0.09937061000000003,12.834058,81.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,None,14.261246538999998,12.629548,52.0,True,True,False
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,None,33.520894814,2.063405,24.0,True,True,False
AUTO.LAND,Land,None,No,None,None,No,STABILIZED,None,0.09537250000000008,12.85246,79.0,True,True,False
