timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
6974980000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975032000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975084000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975136000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975188000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975240000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975292000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975344000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975396000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975448000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975500000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975552000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975604000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975656000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975708000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975760000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975812000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975864000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975916000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6975968000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976016000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6976072000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
