timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
7014380000,7014380000,1036000,41.606704,-86.3556021,-0.78401256,33.38652,-12.44693,0.00034446313,0.00015069879,0.0,0.23262425,0.004285198,-0.05923266,-0.011553439,-0.0007434546,-0.012204854,-0.016599584,0.89114213,0.02344543,-0.10693545,-1.2852631,0.0035601552,229.39903,12.658925,0.36710936,0.41510668,0.14068708,0.11683571,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7014884000,7014884000,1036000,41.606704,-86.3556021,-0.55813164,33.383205,-12.462838,0.00034446313,0.00015069879,0.0,0.8565417,0.0007004638,-0.11762957,-0.06690945,-0.0007434546,-0.012204854,-0.016599584,1.6400906,0.07885118,-0.10971638,-1.2886478,0.0035601552,229.39903,12.674833,0.369106,0.41758692,0.14186586,0.117335275,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7015380000,7015380000,1036000,41.606704,-86.3556021,0.0085002715,33.369453,-12.497901,0.00034446313,0.00015069879,0.0,1.610448,-0.00037228648,-0.15557683,-0.09750146,-0.0007434546,-0.012204854,-0.016599584,1.4696196,0.06331512,-0.03473094,-1.2907037,0.0035601552,229.39903,12.709896,0.3713452,0.41655314,0.1442321,0.11732465,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7015884000,7015884000,1036000,41.606704,-86.3556021,0.92679083,33.35212,-12.542684,0.00034446313,0.00015069879,0.0,2.1427877,0.016215019,-0.12849183,-0.07277574,-0.0007434546,-0.012204854,-0.016599584,0.77485037,-0.003843987,-0.022686148,-1.2887726,0.0035601552,229.39903,12.754679,0.37398764,0.41907707,0.14589365,0.11776734,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7016380000,7016380000,1036000,41.606704,-86.3556021,2.0422838,33.33366,-12.569448,0.00034446313,0.00015069879,0.0,2.4154832,0.029689742,-0.074872084,-0.023010328,-0.0007434546,-0.012204854,-0.016599584,0.3273466,0.106355354,0.19277532,-1.2923911,0.0035601552,229.39903,12.781444,0.37566465,0.41800466,0.14604001,0.11770613,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7016876000,7016876000,1036000,41.606704,-86.3556021,3.250269,33.31381,-12.577275,0.00034446313,0.00015069879,0.0,2.5173864,0.044878535,-0.041766174,0.0048258337,-0.0007434546,-0.012204854,-0.016599584,0.110333644,0.086332075,0.10884918,-1.2966409,0.0035601552,229.39903,12.78927,0.35851052,0.41419318,0.13725102,0.11444159,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7017380000,7017380000,1036000,41.606704,-86.3556021,4.522141,33.31039,-12.581201,0.00034446313,0.00015069879,0.0,2.5532928,0.06901465,-0.012248642,0.022586301,-0.0007434546,-0.012204854,-0.016599584,-0.07823381,0.0076483116,-0.07655943,-1.306797,0.0035601552,229.39903,12.793196,0.3812639,0.42237306,0.14739345,0.11899221,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7017876000,7017876000,1036000,41.606704,-86.3556021,5.779076,33.31734,-12.578751,0.00034446313,0.00015069879,0.0,2.5708761,0.07014093,-0.0017329176,0.023882903,-0.0007434546,-0.012204854,-0.016599584,0.031558733,0.022457415,-0.023717122,-1.3201562,0.0035601552,229.39903,12.790746,0.36252913,0.41523463,0.1381937,0.11521788,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7018380000,7018380000,1036000,41.606704,-86.3556021,7.0698657,33.333958,-12.577311,0.00034446313,0.00015069879,0.0,2.5714648,0.07480316,0.0057375524,0.021414222,-0.0007434546,-0.012204854,-0.016599584,-0.022826662,0.038322162,-0.010922614,-1.3269926,0.0035601552,229.39903,12.789306,0.38688162,0.42069194,0.14979023,0.1197138,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
7018876000,7018876000,1036000,41.606704,-86.3556021,8.322419,33.351955,-12.576501,0.00034446313,0.00015069879,0.0,2.5530365,0.0633419,0.013923105,0.020451192,-0.0007434546,-0.012204854,-0.016599584,0.015952813,-0.0018639221,-0.07134123,-1.3470113,0.0035601552,229.39903,12.788496,0.36655915,0.4165827,0.13997817,0.11613324,inf,inf,inf,inf,1,1,1,1,2,0,2,1,5,1,1,1,0,0
