timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
6982756000,4000.0,0.13674296,3482.0718,0.0,444238,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6983016000,4000.0,0.13674296,3821.7134,0.0,444252,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6984272000,4000.0,0.13674296,3576.6934,0.0,444335,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6985524000,4000.0,0.13674296,4097.61,0.0,444409,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6986776000,4000.0,0.13674296,3647.4104,0.0,444488,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6987776000,4000.0,0.13674296,3478.0876,0.0,444558,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6988032000,4000.0,0.13674296,3841.6335,0.0,444571,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6989292000,4000.0,0.13674296,3494.024,0.0,444651,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6990548000,4000.0,0.13674296,3482.0718,0.0,444729,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6991800000,4000.0,0.13674296,3889.4424,0.0,444815,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6992800000,4000.0,0.13674296,3923.307,0.0,444873,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6993048000,4000.0,0.13674296,3734.064,0.0,444895,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6994312000,4000.0,0.13674296,3758.9644,0.0,444975,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6995564000,4000.0,0.13674296,3622.51,0.0,445050,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6996816000,4000.0,0.13674296,3788.8447,0.0,445131,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6997816000,4000.0,0.13674296,3406.3745,0.0,445193,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6998076000,4000.0,0.13674296,3622.51,0.0,445213,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6999332000,4000.0,0.13674296,3903.3865,0.0,445292,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000588000,4000.0,0.13674296,3597.6096,0.0,445372,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7001844000,4000.0,0.13674296,3515.9363,0.0,445452,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7002844000,4000.0,0.13674296,4064.7412,0.0,445512,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7003100000,4000.0,0.13674296,3574.7014,0.0,445533,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7004352000,4000.0,0.13674296,3675.2988,0.0,445608,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7005608000,4000.0,0.13674296,3607.5698,0.0,445689,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7006860000,4000.0,0.13674296,3534.8606,0.0,445776,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7007860000,4000.0,0.13674296,4034.8606,0.0,445836,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
