timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
6982272000,0.15143304,0.29265836,-1.0521648,0.0,0.8475493,0.13772394,0.08815157,-0.5048976,0.0,0.0,-0.45963153,0,0,0,0,0
6982320000,0.15121453,0.29342946,-1.0526359,0.0,0.84738237,0.1378395,0.08850532,-0.50508434,0.0,0.0,-0.45667744,0,0,0,0,0
6982368000,0.16357152,0.3157285,-1.0531827,0.0,0.84446645,0.1484965,0.09490887,-0.5057841,0.0,0.0,-0.464195,0,0,0,0,0
6982424000,0.1606338,0.31143692,-1.053278,0.0,0.8450338,0.14622186,0.0938048,-0.5057051,0.0,0.0,-0.45903876,0,0,0,0,0
6982472000,0.15950587,0.31105158,-1.0533065,0.0,0.8451423,0.14565328,0.09392269,-0.505666,0.0,0.0,-0.45653996,0,0,0,0,0
6982520000,0.15852329,0.3107853,-1.0533084,0.0,0.8452363,0.14517364,0.094056785,-0.50562197,0.0,0.0,-0.4545458,0,0,0,0,0
6982576000,0.16778092,0.3257912,-1.0533154,0.0,0.84321713,0.15270929,0.098146655,-0.505996,0.0,0.0,-0.45896357,0,0,0,0,0
6982624000,0.16525032,0.3246554,-1.0533633,0.0,0.8435,0.15137042,0.09829656,-0.50589764,0.0,0.0,-0.4566543,0,0,0,0,0
6982672000,0.16108358,0.3210076,-1.0534929,0.0,0.8441062,0.14873755,0.09777764,-0.5057682,0.0,0.0,-0.4533245,0,0,0,0,0
6982728000,0.16894603,0.33565447,-1.0541723,0.0,0.8420056,0.1556213,0.10200983,-0.5063621,0.0,0.0,-0.45847085,0,0,0,0,0
6982776000,0.1650587,0.33239406,-1.0547621,0.0,0.84245723,0.15322787,0.10155279,-0.50643265,0.0,0.0,-0.4557263,0,0,0,0,0
6982824000,0.16297153,0.32794282,-1.0554864,0.0,0.84283817,0.1513094,0.10012071,-0.50666076,0.0,0.0,-0.4533153,0,0,0,0,0
6982872000,0.15935132,0.32562274,-1.0563104,0.0,0.8431103,0.14926314,0.09998287,-0.50684214,0.0,0.0,-0.45132044,0,0,0,0,0
6982928000,0.16435397,0.33919105,-1.0580884,0.0,0.8410404,0.15474516,0.104383156,-0.50774914,0.0,0.0,-0.4558675,0,0,0,0,0
6982976000,0.16072163,0.33387613,-1.0589575,0.0,0.84158844,0.15197499,0.10296662,-0.5079668,0.0,0.0,-0.45292845,0,0,0,0,0
6983024000,0.15661098,0.3316032,-1.0597657,0.0,0.8419,0.14973496,0.10297818,-0.50811344,0.0,0.0,-0.4501712,0,0,0,0,0
6983072000,0.15410921,0.32758734,-1.060452,0.0,0.84227276,0.14774036,0.10184613,-0.50830775,0.0,0.0,-0.4480946,0,0,0,0,0
6983120000,0.14930636,0.3223215,-1.0609971,0.0,0.842951,0.14446183,0.10077583,-0.5083391,0.0,0.0,-0.44497564,0,0,0,0,0
6983176000,0.15632053,0.3358251,-1.0615802,0.0,0.84107673,0.15073301,0.10471975,-0.5088254,0.0,0.0,-0.4507481,0,0,0,0,0
6983224000,0.1536848,0.33200806,-1.061684,0.0,0.84159404,0.14870098,0.103751965,-0.5087661,0.0,0.0,-0.44871116,0,0,0,0,0
6983272000,0.14993608,0.32583147,-1.0617169,0.0,0.8424133,0.14561953,0.10206383,-0.5086431,0.0,0.0,-0.44583076,0,0,0,0,0
6983320000,0.14742169,0.32136834,-1.0617195,0.0,0.84298635,0.1434713,0.10079547,-0.508557,0.0,0.0,-0.44467875,0,0,0,0,0
6983376000,0.15280697,0.33250338,-1.0617265,0.0,0.8416038,0.14845438,0.1041837,-0.50873375,0.0,0.0,-0.45004997,0,0,0,0,0
6983424000,0.15071717,0.32862562,-1.0617741,0.0,0.8420936,0.1466326,0.10305499,-0.50868154,0.0,0.0,-0.448242,0,0,0,0,0
6983472000,0.1458941,0.32401535,-1.0619029,0.0,0.84281796,0.14348301,0.10230211,-0.508532,0.0,0.0,-0.44527242,0,0,0,0,0
6983528000,0.15215443,0.337401,-1.0625749,0.0,0.84099245,0.14941706,0.10637822,-0.50900877,0.0,0.0,-0.4515337,0,0,0,0,0
6983568000,0.1509612,0.33526805,-1.0631816,0.0,0.8411206,0.14842778,0.10572612,-0.5092222,0.0,0.0,-0.4516611,0,0,0,0,0
6983624000,0.14392197,0.32469153,-1.0640303,0.0,0.84235865,0.14292659,0.10294051,-0.5093204,0.0,0.0,-0.4465611,0,0,0,0,0
6983672000,0.14009605,0.32081068,-1.0650841,0.0,0.84269816,0.14041843,0.10218312,-0.5096087,0.0,0.0,-0.44454676,0,0,0,0,0
6983728000,0.13326295,0.3106205,-1.0663012,0.0,0.84372145,0.13509594,0.099489026,-0.50988734,0.0,0.0,-0.44075754,0,0,0,0,0
6983776000,0.14276312,0.33030143,-1.0690662,0.0,0.8406634,0.14407614,0.10526856,-0.5113176,0.0,0.0,-0.4494895,0,0,0,0,0
6983824000,0.13833654,0.32520956,-1.0705234,0.0,0.84105253,0.14103922,0.10412636,-0.511758,0.0,0.0,-0.44746065,0,0,0,0,0
6983872000,0.13513932,0.3193517,-1.0720057,0.0,0.8414003,0.13832645,0.10234468,-0.51228595,0.0,0.0,-0.4456179,0,0,0,0,0
6983928000,0.12900177,0.31001002,-1.0734235,0.0,0.8422374,0.13350406,0.09983964,-0.512684,0.0,0.0,-0.44252658,0,0,0,0,0
6983968000,0.12812322,0.30905783,-1.0747758,0.0,0.8420275,0.13296543,0.09956913,-0.5132211,0.0,0.0,-0.44159362,0,0,0,0,0
6984024000,0.13330068,0.32204112,-1.0770851,0.0,0.8399943,0.1384806,0.103610285,-0.51429325,0.0,0.0,-0.44778192,0,0,0,0,0
6984072000,0.13023898,0.3156847,-1.0779456,0.0,0.84052104,0.1356605,0.10163424,-0.5145787,0.0,0.0,-0.44539714,0,0,0,0,0
