timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
6971608000,6971608000,41.606698191677104,-86.35561878691445,229.28755,229.26866,-0.0,1.003582,1.0052155,229.18811,2,0,1,0
6971616000,6971616000,41.60669819157044,-86.35561878688004,229.28758,229.26869,-0.0,1.003582,1.0052155,229.18813,2,0,1,0
6971624000,6971624000,41.60669819144929,-86.35561878687717,229.28763,229.26874,-0.0,1.003582,1.0052155,229.18816,2,0,1,0
6971632000,6971632000,41.606698191356564,-86.3556187868356,229.28766,229.26877,-0.0,1.003582,1.0052155,229.18819,2,0,1,0
6971640000,6971640000,41.606698191246664,-86.35561878676248,229.28769,229.2688,-0.0,1.0035821,1.0052111,229.18819,2,0,1,0
6971648000,6971648000,41.60669819113196,-86.35561878666641,229.28773,229.26884,-0.0,1.0035821,1.0052111,229.18822,2,0,1,0
6971656000,6971656000,41.60669819103279,-86.35561878651873,229.28777,229.26888,-0.0,1.0035822,1.0052112,229.18823,2,0,1,0
6971664000,6971664000,41.60669819089664,-86.35561878632947,229.28781,229.26892,-0.0,1.0035822,1.0052112,229.18826,2,0,1,0
6971672000,6971672000,41.60669819078139,-86.35561878609433,229.28786,229.26897,-0.0,1.0035824,1.0052114,229.18828,2,0,1,0
6971680000,6971680000,41.60669819072028,-86.35561878581761,229.2879,229.26901,-0.0,1.0035825,1.0052114,229.18831,2,0,1,0
6971688000,6971688000,41.60669819064792,-86.35561878552942,229.28793,229.26904,-0.0,1.0035826,1.0052115,229.18832,2,0,1,0
6971696000,6971696000,41.60669819056965,-86.35561878523691,229.28798,229.26909,-0.0,1.0035827,1.0052115,229.18834,2,0,1,0
6971704000,6971704000,41.60669819050694,-86.35561878491431,229.28801,229.26912,-0.0,1.003583,1.0052071,229.18825,2,0,1,0
6971712000,6971712000,41.60669819044101,-86.35561878459028,229.28806,229.26917,-0.0,1.0035831,1.0052072,229.18826,2,0,1,0
6971720000,6971720000,41.606698190369706,-86.35561878428058,229.28809,229.2692,-0.0,1.0035833,1.0052073,229.18828,2,0,1,0
6971728000,6971728000,41.606698190307526,-86.35561878398809,229.28812,229.26923,-0.0,1.0035834,1.0052074,229.18831,2,0,1,0
6971736000,6971736000,41.60669819022391,-86.35561878371996,229.28816,229.26927,-0.0,1.0035837,1.0052075,229.18832,2,0,1,0
6971744000,6971744000,41.60669819013869,-86.35561878346762,229.2882,229.2693,-0.0,1.003584,1.0052077,229.18834,2,0,1,0
6971752000,6971752000,41.60669819006846,-86.35561878316079,229.28824,229.26935,-0.0,1.0035843,1.0052079,229.18837,2,0,1,0
6971760000,6971760000,41.60669818997412,-86.35561878282098,229.28827,229.26938,-0.0,1.0035846,1.0052036,229.18845,2,0,1,0
6971768000,6971768000,41.60669818988513,-86.35561878254713,229.2883,229.26941,-0.0,1.0035827,1.0052025,229.18814,2,0,1,0
6971776000,6971776000,41.60669818977095,-86.35561878229048,229.28833,229.26944,-0.0,1.0035827,1.0052025,229.18813,2,0,1,0
6971784000,6971784000,41.60669818961069,-86.3556187820711,229.28836,229.26947,-0.0,1.0035827,1.0052025,229.18813,2,0,1,0
6971792000,6971792000,41.606698189466485,-86.35561878187325,229.28839,229.2695,-0.0,1.0035827,1.0052025,229.18811,2,0,1,0
6971800000,6971800000,41.606698189328725,-86.35561878172413,229.2884,229.26952,-0.0,1.0035827,1.0052025,229.18811,2,0,1,0
6971808000,6971808000,41.60669818918507,-86.35561878160657,229.28844,229.26993,-0.0,1.00357,1.0052025,229.18811,2,0,1,0
6971816000,6971816000,41.60669818907036,-86.35561878150189,229.28845,229.26994,-0.0,1.00357,1.0052025,229.1881,2,0,1,0
6971824000,6971824000,41.606698188974406,-86.35561878140726,229.28847,229.26996,-0.0,1.00357,1.0051982,229.18811,2,0,1,0
6971832000,6971832000,41.60669818888167,-86.35561878134274,229.28848,229.26997,-0.0,1.00357,1.0051982,229.18811,2,0,1,0
6971840000,6971840000,41.606698188814136,-86.35561878130547,229.28851,229.27,-0.0,1.0035701,1.0051982,229.18811,2,0,1,0
6971848000,6971848000,41.606698188790006,-86.3556187812811,229.28853,229.27002,-0.0,1.0035701,1.0051982,229.1881,2,0,1,0
6971856000,6971856000,41.60669818875999,-86.35561878127392,229.28854,229.27003,-0.0,1.0035702,1.0051982,229.1881,2,0,1,0
6971864000,6971864000,41.606698188734796,-86.35561878128395,229.28854,229.27003,-0.0,1.0035702,1.0051984,229.18808,2,0,1,0
6971872000,6971872000,41.606698188698886,-86.3556187813026,229.28856,229.27005,-0.0,1.0035703,1.005194,229.18811,2,0,1,0
6971880000,6971880000,41.60669818867208,-86.35561878130689,229.28857,229.27007,-0.0,1.0035704,1.005194,229.1881,2,0,1,0
6971888000,6971888000,41.606698188665646,-86.35561878132268,229.28857,229.27007,-0.0,1.0035704,1.0051941,229.1881,2,0,1,0
6971896000,6971896000,41.6066981887037,-86.35561878133845,229.28857,229.27007,-0.0,1.0035706,1.0051941,229.1881,2,0,1,0
6971904000,6971904000,41.606698188736935,-86.35561878130834,229.28856,229.27005,-0.0,1.0035708,1.0051942,229.18808,2,0,1,0
6971912000,6971912000,41.606698188764284,-86.35561878125242,229.28856,229.27005,-0.0,1.0035709,1.0051943,229.18808,2,0,1,0
6971920000,6971920000,41.60669818878304,-86.35561878122516,229.28857,229.27007,-0.0,1.003571,1.0051943,229.18808,2,0,1,0
6971928000,6971928000,41.60669818880502,-86.35561878121227,229.28856,229.27005,-0.0,1.0035713,1.0051901,229.188,2,0,1,0
6971936000,6971936000,41.60669818885755,-86.35561878118503,229.28854,229.27003,-0.0,1.0035715,1.0051903,229.188,2,0,1,0
6971944000,6971944000,41.6066981889074,-86.35561878112338,229.28853,229.27002,-0.0,1.0035716,1.0051904,229.18799,2,0,1,0
6971952000,6971952000,41.60669818892456,-86.35561878105169,229.28851,229.27,-0.0,1.0035719,1.0051905,229.18797,2,0,1,0
6971960000,6971960000,41.60669818890258,-86.35561878102158,229.28851,229.27,-0.0,1.0035722,1.0051906,229.18797,2,0,1,0
6971968000,6971968000,41.60669818886881,-86.35561878097856,229.2885,229.26999,-0.0,1.0035726,1.0051907,229.18796,2,0,1,0
6971976000,6971976000,41.60669818885005,-86.35561878088824,229.2885,229.26999,-0.0,1.0035707,1.0051898,229.18817,2,0,1,0
6971984000,6971984000,41.60669818883451,-86.35561878078357,229.2885,229.26999,-0.0,1.0035707,1.0051898,229.18817,2,0,1,0
