timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
7001812000,7001732000,1310996,-0.00081369886,0.0006294522,0.0004614414,0.34906584,1.7949789e-07,1.6913465e-07,5.0867743e-07,1310996,-0.0116719315,-0.0019369684,0.10722986,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7002236000,7002156000,1310996,-0.00082393194,0.0006291637,0.0004614023,0.34906584,1.776622e-07,1.6810222e-07,5.101891e-07,1310996,-0.011897153,-0.0017926052,0.10613381,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7002804000,7002724000,1310996,-0.0008373103,0.000630688,0.00046118343,0.34906584,1.7688618e-07,1.6815004e-07,5.1220707e-07,1310996,-0.01219854,-0.0016042467,0.10462975,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7003220000,7003140000,1310996,-0.0008498465,0.00063601043,0.00046420263,0.34906584,1.750165e-07,1.6701925e-07,5.1345387e-07,1310996,-0.012447453,-0.0014179327,0.10315516,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7004068000,7003988000,1310996,-0.00086739566,0.0006365965,0.00046719678,0.34906584,1.7465402e-07,1.6764162e-07,5.161358e-07,1310996,-0.012637985,-0.0012453938,0.10218234,0.4,0.00078123936,0.000781244,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7004628000,7004548000,1310996,-0.0008890048,0.0006336787,0.00047098732,0.34906584,1.7163819e-07,1.6553193e-07,5.1744024e-07,1310996,-0.0129260635,-0.0010507585,0.10080215,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7005388000,7005308000,1310996,-0.0009018831,0.0006344774,0.00047001912,0.34906584,1.7313685e-07,1.6757566e-07,5.195725e-07,1310996,-0.013115645,-0.0009303891,0.09980471,0.4,0.00078123936,0.00078124803,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7005820000,7005740000,1310996,-0.0009143405,0.00063267816,0.00046950337,0.34906584,1.6937818e-07,1.6453995e-07,5.202805e-07,1310996,-0.013334266,-0.00082246284,0.09860941,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7006236000,7006156000,1310996,-0.0009196232,0.0006377095,0.00046889746,0.34906584,1.6833206e-07,1.6390764e-07,5.2111346e-07,1310996,-0.013519815,-0.0007234352,0.09716439,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7007020000,7006940000,1310996,-0.0009260682,0.0006300537,0.00046413433,0.34906584,1.6776814e-07,1.6393768e-07,5.2279125e-07,1310996,-0.01374483,-0.0006809228,0.09583977,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,1,1,1,1,0
7007436000,7007356000,1310996,-0.000930906,0.00062744046,0.00046253233,0.34906584,1.6675256e-07,1.6326148e-07,5.234771e-07,1310996,-0.013966655,-0.00061594637,0.094016515,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,1,1,1,1,0
7008004000,7007924000,1310996,-0.0009292092,0.0006255715,0.00045688075,0.34906584,1.6684275e-07,1.6367832e-07,5.2456136e-07,1310996,-0.014155296,-0.0005843448,0.092212945,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,1,1,1,1,0
