timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
7009088000,1,0,1,0,0,0,0,0
7009592000,1,0,1,0,0,0,0,0
7010096000,1,0,1,0,0,0,0,0
7010600000,1,0,1,0,0,0,0,0
7011104000,1,0,1,0,0,0,0,0
7011612000,1,0,1,0,0,0,0,0
7012116000,1,0,1,0,0,0,0,0
7012620000,1,0,1,0,0,0,0,0
7013028000,1,0,1,0,0,0,0,0
7013064000,1,0,1,0,0,0,0,0
7013340000,1,0,1,0,0,0,0,0
7013844000,1,0,1,0,0,0,0,0
7014348000,1,0,1,0,0,0,0,0
7014852000,1,0,1,0,0,0,0,0
7015356000,1,0,1,0,0,0,0,0
7015860000,1,0,1,0,0,0,0,0
7016364000,1,0,1,0,0,0,0,0
7016868000,1,0,1,0,0,0,0,0
7017372000,1,0,1,0,0,0,0,0
7017876000,1,0,1,0,0,0,0,0
7018380000,1,0,1,0,0,0,0,0
7018884000,1,0,1,0,0,0,0,0
7019388000,1,0,1,0,0,0,0,0
7019892000,1,0,1,0,0,0,0,0
7020396000,1,0,1,0,0,0,0,0
7020900000,1,0,1,0,0,0,0,0
7021404000,1,0,1,0,0,0,0,0
7021908000,1,0,1,0,0,0,0,0
7022412000,1,0,1,0,0,0,0,0
7022916000,1,0,1,0,0,0,0,0
7022988000,1,0,1,0,0,0,0,0
7023024000,1,0,1,0,0,0,0,0
7023348000,1,0,1,0,0,0,0,0
7023852000,1,0,1,0,0,0,0,0
7024356000,1,0,1,0,0,0,0,0
7024860000,1,0,1,0,0,0,0,0
7025364000,1,0,1,0,0,0,0,0
7025868000,1,0,1,0,0,0,0,0
7026372000,1,0,1,0,0,0,0,0
7026876000,1,0,1,0,0,0,0,0
7027380000,1,0,1,0,0,0,0,0
7027884000,1,0,1,0,0,0,0,0
7028388000,1,0,1,0,0,0,0,0
7028892000,1,0,1,0,0,0,0,0
7029396000,1,0,1,0,0,0,0,0
7029900000,1,0,1,0,0,0,0,0
7030404000,1,0,1,0,0,0,0,0
7030908000,1,0,1,0,0,0,0,0
7031412000,1,0,1,0,0,0,0,0
7031916000,1,0,1,0,0,0,0,0
7032420000,1,0,1,0,0,0,0,0
7032924000,1,0,1,0,0,0,0,0
7033428000,1,0,1,0,0,0,0,0
7033932000,1,0,1,0,0,0,0,0
7034436000,1,0,1,0,0,0,0,0
7034940000,1,0,1,0,0,0,0,0
7035444000,1,0,1,0,0,0,0,0
7035948000,1,0,1,0,0,0,0,0
7036452000,1,0,1,0,0,0,0,0
7036956000,1,0,1,0,0,0,0,0
7037460000,1,0,1,0,0,0,0,0
7037964000,1,0,1,0,0,0,0,0
7038468000,1,0,1,0,0,0,0,0
7038972000,1,0,1,0,0,0,0,0
7039476000,1,0,1,0,0,0,0,0
7039980000,1,0,1,0,0,0,0,0
7040484000,1,0,1,0,0,0,0,0
7040916000,1,0,1,0,0,0,0,0
7041420000,1,0,1,0,0,0,0,0
7041888000,1,0,1,0,0,0,0,0
7042392000,1,0,1,0,0,0,0,0
7042896000,1,0,1,0,0,0,0,0
7043400000,1,0,1,0,0,0,0,0
7043904000,1,0,1,0,0,0,0,0
7044408000,1,0,1,0,0,0,0,0
7044912000,1,0,1,0,0,0,0,0
7045416000,1,0,1,0,0,0,0,0
7045920000,1,0,1,0,0,0,0,0
7046424000,1,0,1,0,0,0,0,0
7046928000,1,0,1,0,0,0,0,0
7047432000,1,0,1,0,0,0,0,0
7047936000,1,0,1,0,0,0,0,0
7048008000,0,0,1,0,0,0,0,0
7048512000,0,0,1,0,0,0,0,0
