timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
7028440000,1693023888100133,0,416067998,-863552917,239134,239134,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.74,-1.0,-2.57,0.83,4.3383646,0,nan,nan,0.0,0,3,0,1,10
7029636000,1693023889296133,0,416067892,-863553285,238151,238151,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.72,-0.98999995,-2.53,0.78999996,4.3395867,0,nan,nan,0.0,0,3,0,1,10
7030624000,1693023890284133,0,416067804,-863553586,237400,237400,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.69,-0.97999996,-2.49,0.78999996,4.337492,0,nan,nan,0.0,0,3,0,1,10
7031612000,1693023891268133,0,416067714,-863553883,236677,236677,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.7,-1.05,-2.51,0.71,4.314803,0,nan,nan,0.0,0,3,0,1,10
7032604000,1693023892256133,0,416067621,-863554180,235965,235965,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.7,-1.03,-2.5,0.76,4.3193407,0,nan,nan,0.0,0,3,0,1,10
7033636000,1693023893296133,0,416067523,-863554493,235199,235199,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.71,-1.04,-2.48,0.71999997,4.314977,0,nan,nan,0.0,0,3,0,1,10
7034628000,1693023894288133,0,416067427,-863554793,234459,234459,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.74,-1.0799999,-2.51,0.77,4.305029,0,nan,nan,0.0,0,3,0,1,10
7035616000,1693023895272133,0,416067334,-863555093,233728,233728,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.71,-1.01,-2.51,0.74,4.330685,0,nan,nan,0.0,0,3,0,1,10
7036604000,1693023896260133,0,416067242,-863555391,233005,233005,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.7,-1.04,-2.52,0.72999996,4.3209114,0,nan,nan,0.0,0,3,0,1,10
7037436000,1693023897092133,0,416067165,-863555643,232413,232413,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.6799998,-1.0,-2.47,0.69,4.326322,0,nan,nan,0.0,0,3,0,1,10
7038632000,1693023898288133,0,416067056,-863555989,231530,231530,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.31,-0.96999997,-2.1,0.82,4.276755,0,nan,nan,0.0,0,3,0,1,10
7039620000,1693023899276133,0,416066992,-863556156,230970,230970,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.78999996,-0.39999998,-0.69,0.22,4.1866956,0,nan,nan,0.0,0,3,0,1,10
7040608000,1693023900268133,0,416066979,-863556184,230925,230925,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.07,0.03,0.07,-0.02,1.0751228,0,nan,nan,0.0,0,3,0,1,10
7041440000,1693023901100133,0,416066984,-863556171,230913,230913,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.14999999,0.06,0.13,0.39,1.1140436,0,nan,nan,0.0,0,3,0,1,10
7042636000,1693023902292133,0,416066988,-863556162,230167,230167,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.63,2.2282617,0,nan,nan,0.0,0,3,0,1,10
7043624000,1693023903280133,0,416066987,-863556166,229543,229543,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,-0.02,-0.07,0.62,4.3736205,0,nan,nan,0.0,0,3,0,1,10
7044612000,1693023904272133,0,416066986,-863556170,229271,229271,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,5.7292175,0,nan,nan,0.0,0,3,0,1,10
7045596000,1693023905256133,0,416066987,-863556170,229268,229268,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.01,0.02,2.6204374,0,nan,nan,0.0,0,3,0,1,10
7046640000,1693023906296133,0,416066986,-863556170,229272,229272,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.4489174,0,nan,nan,0.0,0,3,0,1,10
7047628000,1693023907288133,0,416066986,-863556170,229268,229268,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.0273743,0,nan,nan,0.0,0,3,0,1,10
7048612000,1693023908268133,0,416066987,-863556170,229269,229269,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,4.275184,0,nan,nan,0.0,0,3,0,1,10
