timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
7003544000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7004048000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7004552000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7005056000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7005560000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7006064000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7006568000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7007072000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7007576000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7008080000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7008584000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7009088000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7009592000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7010096000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7010600000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7011104000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7011612000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
