timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
6977948000,6977936000,6620172,228.99399,13.511698,98604.58,1.1715856,0
6978020000,6977996000,6620172,229.1578,13.511104,98602.66,1.1715627,0
6978064000,6978052000,6620172,229.23178,13.510492,98601.766,1.1715521,0
6978136000,6978112000,6620172,229.25821,13.509883,98601.46,1.1715485,0
6978184000,6978172000,6620172,229.40617,13.509287,98599.734,1.171528,0
6978236000,6978222000,6620172,229.46696,13.508829,98599.0,1.1715192,0
6978284000,6978272000,6620172,229.61757,13.508402,98597.25,1.1714984,0
6978356000,6978332000,6620172,229.59644,13.507879,98597.49,1.1715013,0
6978404000,6978392000,6620172,229.71005,13.507395,98596.15,1.1714854,0
6978476000,6978450666,6620172,229.72325,13.506943,98596.0,1.1714836,0
6978520000,6978510000,6620172,229.74968,13.50651,98595.69,1.1714798,0
6978572000,6978560000,6620172,229.82103,13.506189,98594.84,1.1714698,0
6978644000,6978618666,6620172,229.96107,13.505804,98593.21,1.1714504,0
6978692000,6978680000,6620172,230.09055,13.505442,98591.69,1.1714324,0
6978764000,6978740000,6620172,230.08527,13.505112,98591.734,1.1714329,0
6978812000,6978800000,6620172,229.9558,13.504786,98593.25,1.1714509,0
6978884000,6978860000,6620172,230.15926,13.504501,98590.86,1.1714225,0
6978932000,6978920000,6620172,230.12755,13.504221,98591.26,1.1714272,0
6979004000,6978980000,6620172,230.18301,13.503952,98590.61,1.1714196,0
6979048000,6979038000,6620172,230.31514,13.503702,98589.03,1.1714008,0
6979100000,6979088000,6620172,230.30986,13.503519,98589.125,1.1714019,0
6979168000,6979146666,6620172,230.40498,13.503302,98587.984,1.1713884,0
6979220000,6979208000,6620172,230.4737,13.503092,98587.19,1.1713789,0
6979292000,6979268000,6620172,230.28871,13.502905,98589.34,1.1714045,0
6979340000,6979328000,6620172,230.3257,13.50271,98588.94,1.1713997,0
6979412000,6979388000,6620172,230.39969,13.502539,98588.055,1.1713892,0
6979460000,6979448000,6620172,230.47102,13.502375,98587.23,1.1713793,0
6979532000,6979508000,6620172,230.48953,13.502223,98586.984,1.1713765,0
6979580000,6979568000,6620172,230.56088,13.502069,98586.17,1.1713668,0
6979652000,6979628000,6620172,230.57144,13.501938,98586.02,1.171365,0
6979700000,6979688000,6620172,230.5186,13.501795,98586.664,1.1713727,0
