timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
7003932000,7003932000,0.8004687,-0.0068746083,8.874099e-05,-0.59933525,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7004428000,7004428000,0.80042154,-0.007018069,-0.0009969473,-0.5993956,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7004932000,7004932000,0.80056244,-0.008978237,-6.9320435e-05,-0.5991821,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7005432000,7005432000,0.8006793,-0.0085020745,-0.0003277627,-0.5990327,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7005932000,7005932000,0.8007848,-0.008847602,-0.00013034715,-0.5988868,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7006432000,7006432000,0.800758,-0.007339066,-7.079465e-05,-0.5989431,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7006932000,7006932000,0.80080485,-0.0064543406,-0.0014512548,-0.5988889,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7007432000,7007432000,0.8008642,-0.0060193483,-0.00046528102,-0.5988157,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7007928000,7007928000,0.8007734,-0.006360235,0.0006963971,-0.59893346,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7008432000,7008432000,0.80089873,-0.0048329937,0.0005651131,-0.59878016,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7008932000,7008932000,0.8009341,-0.0045582694,-0.0005685167,-0.598735,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7009432000,7009432000,0.8009756,-0.004871441,-0.00035294122,-0.59867716,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7009928000,7009928000,0.8009498,-0.005850215,-0.0017662974,-0.5987004,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7010432000,7010432000,0.8009663,-0.007421114,-0.0010336436,-0.5986626,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7010932000,7010932000,0.8010789,-0.0065869796,-0.0009669582,-0.5985218,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7011432000,7011432000,0.8009232,-0.0061570965,-0.0014114537,-0.5987339,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
7011932000,7011932000,0.8009642,-0.005306365,-0.0019994925,-0.59868556,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
