timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
6980572000,6980492000,0.0004544606,0.002851797,0.0046167965,8389271,0,0.26496524,0.25569862,0.012920859,0.024578895,0.0069383103,0.0036288442,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,5,0,0,0,0,0,0,0
6980772000,6980692000,0.00038978946,0.0015909596,0.002947735,8389271,0,0.28493622,0.2727078,0.0038178426,0.024578895,0.0069383103,0.0037485333,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,5,0,0,0,0,0,0,0
6980972000,6980892000,7.700224e-05,0.0020642772,0.0037603388,8389271,0,0.2915416,0.28332523,0.005421486,0.018537901,0.008016103,0.00034332622,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,5,0,0,0,0,0,0,0
6981172000,6981092000,0.000816628,0.0015417421,0.0032824164,8389271,0,0.29750833,0.2924339,0.004571262,0.008906992,0.008440542,0.0011148183,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,895,2,1,2,0,5,0,0,0,0,0,0,0
6981372000,6981292000,7.8446916e-05,0.0047610677,0.009954451,8389271,0,0.30287096,0.30196545,0.0024464761,0.043308992,0.0059424182,0.0017739837,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6981572000,6981492000,0.0004206036,0.0038907703,0.0074250023,8389271,0,0.30766377,0.30979794,0.017066762,0.014184283,0.005637648,0.0075318585,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6981772000,6981692000,0.00043066873,0.004858064,0.00681788,8389271,0,0.3119879,0.31829485,0.01084023,0.028330555,0.005388114,0.0023672788,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6981972000,6981892000,0.00019130745,0.0020241817,0.0027981724,8389271,0,0.33381733,0.33288223,0.008468781,0.028330555,0.005388114,0.001156147,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6982172000,6982092000,0.00022610331,0.006204047,0.009633151,8389271,0,0.33587006,0.34008107,0.00892082,0.050572414,0.008112502,0.00020915054,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6982372000,6982292000,0.0002690553,0.006004256,0.010228199,8389271,0,0.33761337,0.34682342,0.006986861,0.03670304,0.0075753285,0.0009614545,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6982572000,6982492000,0.00034468644,0.003767142,0.006986125,8389271,0,0.3390794,0.3513738,0.007521482,0.015534006,0.006715301,0.002921894,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6982772000,6982692000,0.0005172336,0.005568532,0.009524443,8389351,0,0.34029758,0.35722804,0.033588883,0.03220675,0.0077212485,0.012687722,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6982972000,6982892000,0.0004628833,0.0065797563,0.01034188,8389351,0,0.3412944,0.3607803,0.019015158,0.030615555,0.007448037,0.015280713,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6983172000,6983092000,0.00050983933,0.007201235,0.012448936,8389351,0,0.34209388,0.36583766,0.014110943,0.031329803,0.00725134,0.0054166224,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6983372000,6983292000,5.110123e-05,0.0038498042,0.007557272,8389351,0,0.3635292,0.37902132,0.018689651,0.031329803,0.00725134,0.0015006566,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6983572000,6983492000,0.00030147762,0.005829386,0.011195411,8389351,0,0.3621245,0.3807961,0.015801124,0.027900632,0.007372154,0.00312567,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6983772000,6983692000,0.00020934756,0.0047025913,0.010436665,8389351,0,0.36076114,0.38451704,0.023977688,0.02489478,0.0066283774,0.0021522092,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6983972000,6983892000,5.3660562e-05,0.004063583,0.009499804,8389351,0,0.35956952,0.3856614,0.018153507,0.017562691,0.0046032146,0.0018078153,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6984172000,6984092000,6.342953e-05,0.0055249804,0.012966017,8389351,0,0.35843882,0.38888633,0.013048927,0.029867433,0.004487176,0.004450823,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6984372000,6984292000,4.2278607e-05,0.006608604,0.014647419,8389351,0,0.35735106,0.39190018,0.018391965,0.02391681,0.0060457448,0.0020719666,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6984572000,6984492000,1.9534144e-05,0.0044712536,0.009197297,8389351,0,0.37778574,0.40020618,0.016637838,0.02391681,0.0060457448,0.005196661,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
6984772000,6984692000,3.8281876e-05,0.005833747,0.011821115,8389351,0,0.37467548,0.40241167,0.013976179,0.025651779,0.004631114,0.008783811,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,831,2,1,2,0,5,0,0,0,0,0,0,0
