timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
6989288000,6989288000,0.42767078,2.2406152e-06,-0.088684194,1.0011761,0.00087284966,1.0,1
6989392000,6989392000,0.4277134,2.2175009e-06,-0.7632647,1.0011754,0.06465434,1.0,1
6989488000,6989488000,0.42770112,2.1966953e-06,-0.052430954,1.0011548,0.00030509266,1.0,1
6989592000,6989592000,0.42772117,2.1748695e-06,0.007028125,1.0011557,5.481947e-06,1.0,1
6989688000,6989688000,0.4277178,2.15526e-06,-0.03782031,1.0011334,0.00015875073,1.0,1
6989792000,6989792000,0.4277382,2.1345445e-06,-0.016220383,1.0011376,2.9200208e-05,1.0,1
6989888000,6989888000,0.42776087,2.1159133e-06,-0.055445887,1.0011172,0.00034120172,1.0,1
6989992000,6989992000,0.42775124,2.0962918e-06,-0.009704094,1.0011163,1.0451606e-05,1.0,1
6990088000,6990088000,0.42774785,2.078689e-06,-0.25019735,1.0010931,0.0069478177,1.0,1
6990192000,6990192000,0.4277661,2.0603077e-06,-0.10133292,1.0010949,0.0011396811,1.0,1
6990288000,6990288000,0.42782268,2.0436898e-06,-0.06456369,1.0010846,0.0004626616,1.0,1
6990392000,6990392000,0.42782253,2.0260827e-06,0.05363819,1.0010612,0.00031933395,1.0,1
6990488000,6990488000,0.4278361,2.010159e-06,0.06856829,1.001069,0.0005218433,1.0,1
6990592000,6990592000,0.4278407,1.9934625e-06,0.031513445,1.0010444,0.00011022901,1.0,1
6990688000,6990688000,0.42783162,1.9783843e-06,0.020803463,1.001048,4.8036774e-05,1.0,1
6990792000,6990792000,0.42783046,1.9626075e-06,-0.1569942,1.0010242,0.002735773,1.0,1
6990888000,6990888000,0.4278612,1.948334e-06,-0.034421537,1.0010324,0.00013151337,1.0,1
6990992000,6990992000,0.4278738,1.9332658e-06,0.16712525,1.0010129,0.0031002874,1.0,1
6991096000,6991096000,0.4278682,1.9185256e-06,-0.052679706,1.00101,0.00030803907,1.0,1
6991192000,6991192000,0.42786402,1.9052948e-06,0.047201753,1.0010165,0.0002473048,1.0,1
6991296000,6991296000,0.4278679,1.8914013e-06,0.01834944,1.0009907,3.7374302e-05,1.0,1
6991392000,6991392000,0.42787683,1.8789674e-06,-0.051137377,1.0009984,0.00029026924,1.0,1
6991488000,6991488000,0.42786843,1.8667947e-06,0.49070176,1.0009797,0.026728064,1.0,1
6991592000,6991592000,0.4279049,1.8539995e-06,-0.03938384,1.0009812,0.00017217404,1.0,1
6991696000,6991696000,0.4279383,1.8415293e-06,0.017522687,1.0009631,3.4083238e-05,1.0,1
6991792000,6991792000,0.427948,1.8303226e-06,0.1337053,1.0009499,0.0019844603,1.0,1
6991896000,6991896000,0.42796844,1.8184263e-06,-0.0687539,1.0009527,0.0005247333,1.0,1
6991992000,6991992000,0.4279912,1.8077322e-06,0.008479338,1.0009404,7.981291e-06,1.0,1
6992088000,6992088000,0.42800555,1.7971668e-06,0.055115707,1.0009496,0.00033720658,1.0,1
6992192000,6992192000,0.42799583,1.7860368e-06,0.5531193,1.0009319,0.03396179,1.0,1
6992296000,6992296000,0.42801026,1.7750998e-06,-0.052047525,1.0009336,0.0003007131,1.0,1
6992392000,6992392000,0.42802322,1.7652748e-06,0.24407175,1.0009227,0.0066129,1.0,1
6992488000,6992488000,0.4280041,1.7556414e-06,-0.028644726,1.0009263,9.108456e-05,1.0,1
6992592000,6992592000,0.42803445,1.7455006e-06,0.054572273,1.000912,0.0003306022,1.0,1
6992688000,6992688000,0.42802283,1.7363197e-06,-0.039040007,1.0009147,0.00016919214,1.0,1
6992792000,6992792000,0.42802843,1.7266962e-06,0.05762902,1.0008966,0.00036868098,1.0,1
6992888000,6992888000,0.42804664,1.7179838e-06,-0.09286899,1.0009042,0.0009574287,1.0,1
6992992000,6992992000,0.42805728,1.7087932e-06,0.044993173,1.0008875,0.00022473227,1.0,1
6993088000,6993088000,0.4280983,1.7004335e-06,-0.7439961,1.0008947,0.061448377,1.0,1
6993192000,6993192000,0.42806876,1.6916458e-06,0.07513025,1.0008771,0.000626623,1.0,1
6993288000,6993288000,0.42808068,1.6836867e-06,0.121103644,1.0008874,0.0016281211,1.0,1
6993392000,6993392000,0.42807585,1.6752924e-06,0.002001375,1.0008698,4.4466898e-07,1.0,1
6993496000,6993496000,0.42807698,1.6670178e-06,-0.06191031,1.0008743,0.00042550426,1.0,1
6993592000,6993592000,0.42808747,1.6595595e-06,0.07063453,1.0008646,0.0005538807,1.0,1
6993688000,6993688000,0.42807952,1.6521957e-06,0.042203046,1.0008723,0.0001977272,1.0,1
6993792000,6993792000,0.42808327,1.6444566e-06,-0.60267866,1.0008539,0.040323522,1.0,1
6993888000,6993888000,0.42807123,1.6374182e-06,-0.08251621,1.0008639,0.0007558941,1.0,1
6993992000,6993992000,0.42809507,1.6299599e-06,0.13890031,1.0008531,0.0021418724,1.0,1
6994096000,6994096000,0.4281104,1.6225956e-06,-0.08895953,1.0008556,0.00087855925,1.0,1
6994192000,6994192000,0.4281055,1.615989e-06,0.10274415,1.0008432,0.0011719407,1.0,1
6994296000,6994296000,0.42812952,1.60895e-06,0.041901365,1.000849,0.00019491502,1.0,1
6994392000,6994392000,0.42812404,1.6026189e-06,0.08038238,1.0008365,0.00071732514,1.0,1
6994488000,6994488000,0.42811745,1.5964233e-06,-0.17856847,1.0008419,0.003539986,1.0,1
6994592000,6994592000,0.42812306,1.5899647e-06,0.018102374,1.0008248,3.6380654e-05,1.0,1
6994696000,6994696000,0.42814222,1.5836562e-06,-0.0035192124,1.0008307,1.374953e-06,1.0,1
6994792000,6994792000,0.42817494,1.5779498e-06,-0.103095785,1.000823,0.0011800001,1.0,1
6994888000,6994888000,0.42820808,1.5722535e-06,-0.043238573,1.0008367,0.0002075568,1.0,1
6994992000,6994992000,0.42825532,1.5660914e-06,-0.27220988,1.0008453,0.008226182,1.0,1
6995088000,6995088000,0.42827773,1.5604107e-06,-0.076790385,1.0008342,0.0006546498,1.0,1
6995192000,6995192000,0.42834193,1.5543288e-06,-0.43769053,1.0008429,0.02126796,1.0,1
6995288000,6995288000,0.4284527,1.548729e-06,-0.37793833,1.0008392,0.015857512,1.0,1
